id,text,ground_truth,prediction, confidence
339,I feel joyful and relaxed right now,joy
340,I feel understood at the moment,love
341,I feel nervous and worried lately,fear
342,I’m not okay emotionally these days,sadness
343,I feel emotionally supported these days,love
344,I feel worried and afraid these days,fear
345,I’m proud of myself lately,joy
346,I feel broken inside today,sadness
347,I feel angry and tense at the moment,anger
348,I feel satisfied and happy at the moment,joy
349,I’m irritated by everything today,anger
350,I feel hopeless lately right now,pessimism
351,I’m scared of consequences these days,fear
352,I feel really low today at the moment,sadness
353,I don’t expect good outcomes recently,pessimism
354,I feel safe and cared for at the moment,love
355,I feel anxious and scared,fear
356,I value this connection lately,love
357,I feel discouraged about everything lately,pessimism
358,I feel weak and low,sadness
359,I feel fearful inside lately,fear
360,I really appreciate you today,love
361,I feel negative about everything these days,pessimism
362,I feel joyful and relaxed lately,joy
363,I feel worried and afraid at the moment,fear
364,I don’t believe things will improve recently,pessimism
365,right now,
366,I value this connection lately,love
367,I’m feeling down today,sadness
368,I feel accomplished these days,joy
369,I feel accomplished these days,joy
370,I expect things to go wrong these days,pessimism
371,I feel sad for no reason lately,sadness
372,I feel scared and tense lately,fear
373,I feel trust and affection right now,love
374,I feel empty inside recently,sadness
375,I feel angry inside today,anger
376,I feel pessimistic about life,pessimism
377,I feel weak and low these days,sadness
378,I feel overwhelmed and sad today,sadness
379,I feel upset and mad recently,anger
380,I feel panic thinking about it these days,fear
381,I don’t believe things will improve,pessimism
382,I’m constantly worried at the moment,fear
383,I feel frustrated and angry recently,anger
384,I’m feeling wonderful recently,joy
385,I feel empty inside right now,sadness
386,I don’t expect good outcomes right now,pessimism
387,I feel great today at the moment,joy
388,I’m in a really good mood these days,joy
389,I don’t see a positive future today,pessimism
390,I feel rage building up right now,anger
391,I feel positive today at the moment,joy
392,I feel rage within me recently,anger
393,I’m fed up and angry at the moment,anger
394,right now,
395,I feel delighted right now lately,joy
396,I feel everything is pointless lately,pessimism
397,I feel a lot of affection recently,love
398,I feel stuck in a bad place these days,pessimism
399,I feel nervous about tomorrow,fear
400,I feel uneasy right now recently,fear
401,I feel positive today recently,joy
402,I’m not okay emotionally recently,sadness
403,Today feels amazing these days,joy
404,I’m in a really good mood lately,joy
405,I don’t feel like doing anything at the moment,sadness
406,I feel close and valued,love
407,I’m fed up and angry right now,anger
408,I really appreciate you these days,love
409,I feel empty inside today,sadness
410,I don’t see a positive future,pessimism
411,I feel anxious and scared today,fear
412,I feel empty inside right now,sadness
413,I feel nervous and worried right now,fear
414,I feel nervous and worried these days,fear
415,I feel fearful inside today,fear
416,I feel anxious constantly today,fear
417,I feel emotionally numb,sadness
418,I feel scared and tense lately,fear
419,I’m in a really good mood recently,joy
420,I feel anxious and scared today,fear
421,I feel mentally exhausted recently,sadness
422,I feel comforted recently,love
423,I feel anxious constantly recently,fear
424,I feel empty inside today,sadness
425,I don’t expect good outcomes recently,pessimism
426,I feel connected to you,love
427,I’m in a really good mood right now,joy
428,Everything feels pointless at the moment,pessimism
429,I’m grateful for this support today,love
430,I feel understood today,love
431,I don’t believe things will improve at the moment,pessimism
432,I feel mad about the situation lately,anger
433,I don’t see things getting better at the moment,pessimism
434,I’m constantly worried lately,fear
435,I feel nervous about tomorrow right now,fear
436,I’m afraid of making mistakes these days,fear
437,I don’t feel optimistic anymore at the moment,pessimism
438,I feel connected to you at the moment,love
439,I value this connection today,love
440,I’m feeling wonderful right now,joy
441,I feel mad about the situation right now,anger
442,I feel connected to you these days,love
443,I’m really frustrated right now these days,anger
444,I feel supported emotionally lately,love
445,at the moment,
446,I’m smiling today these days,joy
447,at the moment,
448,I feel warmth and trust lately,love
449,I feel angry inside right now,anger
450,I feel a lot of affection at the moment,love
451,I feel negative about everything recently,pessimism
452,I feel nervous inside,fear
453,I feel upset and mad right now,anger
454,I feel nervous inside lately,fear
455,I feel happy and content at the moment,joy
456,I feel nothing will change these days,pessimism
457,I feel cheerful today,joy
458,I feel rage building up recently,anger
459,I feel panic thinking about it right now,fear
460,I’m irritated by everything today,anger
461,I’m scared of consequences recently,fear
462,I’m angry at everything,anger
463,Life feels heavy right now at the moment,sadness
464,I can’t control my anger recently,anger
465,I feel angry about what happened recently,anger
466,I feel mad about the situation recently,anger
467,these days,
468,today,
469,Everything feels pointless recently,pessimism
470,I’m grateful for this support these days,love
471,I feel cheerful today,joy
472,I feel worried and afraid today,fear
473,I’m irritated by everything today recently,anger
474,I feel hurt and disappointed lately,sadness
475,I feel stuck in a bad place,pessimism
476,I don’t feel like doing anything right now,sadness
477,I feel irritated constantly recently,anger
478,Things are going great for me recently,joy
479,I feel cheerful today,joy
480,I feel excited and joyful at the moment,joy
481,I feel understood lately,love
482,I feel overwhelmed and sad,sadness
483,I’m really frustrated right now,anger
484,Things are going great for me today,joy
485,I’m proud of myself at the moment,joy
486,I don’t expect good outcomes,pessimism
487,I’m grateful for this support today,love
488,I feel delighted right now at the moment,joy
489,I finally finished my project these days,joy
490,I feel pessimistic about life these days,pessimism
491,I feel angry inside at the moment,anger
492,I feel safe and cared for recently,love
493,I feel nervous about tomorrow today,fear
494,I feel comforted lately,love
495,I feel discouraged about everything today,pessimism
496,I feel joyful and relaxed these days,joy
497,I feel frustrated and angry at the moment,anger
498,I feel irritated and upset these days,anger
499,I feel angry inside,anger
500,I feel drained emotionally right now,sadness
